ticket,magic,symbol,direction,volume,open_price,close_price,open_time,close_time,profit,commission,swap,comment
289478170,0,XAUUSD.pc,BUY,0.01,4362.33000,4362.33000,2026.06.15 17:11:57,2026.06.15 17:11:57,5.54,-0.03,0.00,
289478173,0,XAUUSD.pc,BUY,0.01,4362.33000,4362.33000,2026.06.15 17:11:57,2026.06.15 17:11:57,5.64,-0.03,0.00,
289526047,0,XAUUSD.pc,SELL,0.01,4355.02000,4355.02000,2026.06.15 17:22:37,2026.06.15 17:22:37,0.00,-0.03,0.00,
289526070,0,XAUUSD.pc,SELL,0.01,4354.89000,4354.89000,2026.06.15 17:22:38,2026.06.15 17:22:38,0.00,-0.03,0.00,
289526091,0,XAUUSD.pc,SELL,0.01,4354.97000,4354.97000,2026.06.15 17:22:38,2026.06.15 17:22:38,0.00,-0.03,0.00,
289526111,0,XAUUSD.pc,SELL,0.01,4355.15000,4355.15000,2026.06.15 17:22:39,2026.06.15 17:22:39,0.00,-0.03,0.00,
289526534,0,XAUUSD.pc,SELL,0.01,4354.65000,4354.65000,2026.06.15 17:22:47,2026.06.15 17:22:47,0.00,-0.03,0.00,
289528652,0,XAUUSD.pc,SELL,0.01,4356.73000,4356.73000,2026.06.15 17:23:41,2026.06.15 17:23:41,0.00,-0.03,0.00,
289548904,0,XAUUSD.pc,SELL,0.01,4362.53000,4362.53000,2026.06.15 17:28:51,2026.06.15 17:28:51,0.00,-0.03,0.00,
289548928,0,XAUUSD.pc,SELL,0.01,4362.45000,4362.45000,2026.06.15 17:28:52,2026.06.15 17:28:52,0.00,-0.03,0.00,
289553420,0,XAUUSD.pc,SELL,0.01,4364.77000,4364.77000,2026.06.15 17:30:05,2026.06.15 17:30:05,0.00,-0.03,0.00,
289553639,0,XAUUSD.pc,SELL,0.01,4364.59000,4364.59000,2026.06.15 17:30:06,2026.06.15 17:30:06,0.00,-0.03,0.00,
289569524,0,XAUUSD.pc,BUY,0.01,4357.35000,4357.35000,2026.06.15 17:34:59,2026.06.15 17:34:59,-2.20,-0.03,0.00,
289569526,0,XAUUSD.pc,BUY,0.01,4357.35000,4357.35000,2026.06.15 17:34:59,2026.06.15 17:34:59,-2.70,-0.03,0.00,
289569527,0,XAUUSD.pc,BUY,0.01,4357.35000,4357.35000,2026.06.15 17:34:59,2026.06.15 17:34:59,-0.62,-0.03,0.00,
289569528,0,XAUUSD.pc,BUY,0.01,4357.35000,4357.35000,2026.06.15 17:34:59,2026.06.15 17:34:59,7.24,-0.03,0.00,
289569530,0,XAUUSD.pc,BUY,0.01,4357.35000,4357.35000,2026.06.15 17:34:59,2026.06.15 17:34:59,5.10,-0.03,0.00,
289569531,0,XAUUSD.pc,BUY,0.01,4357.35000,4357.35000,2026.06.15 17:34:59,2026.06.15 17:34:59,-2.46,-0.03,0.00,
289569532,0,XAUUSD.pc,BUY,0.01,4357.35000,4357.35000,2026.06.15 17:34:59,2026.06.15 17:34:59,5.18,-0.03,0.00,
